Bot,Canal,Numero_WhatsApp,Ano_Mes,Primeira_Data,Ultima_Data,UsuariosAtivos,UsuariosEngajados,Mensagens_Enviadas_Bot,Mensagens_Enviadas_Usuarios,Mensagens_Enviadas_Total,Com_Testers
bot81,WhatsApp,5511965909235,2022-10,2022-10-03,2022-10-23,2,2,37,15,52,TRUE
bot81,WhatsApp,5511965909235,2022-05,2022-05-02,2022-05-20,12,12,318,163,481,TRUE
bot81,WhatsApp,5511965909235,2022-03,2022-03-03,2022-03-28,25,25,1708,813,2521,TRUE
bot81,WhatsApp,5511965909235,2022-08,2022-08-04,2022-08-31,15,15,182,87,269,TRUE
bot81,WhatsApp,5511965909235,2022-11,2022-11-04,2022-11-15,4,4,16,15,31,TRUE
bot81,WhatsApp,5511965909235,2022-12,2022-12-13,2022-12-26,4,4,63,26,89,TRUE
bot81,WhatsApp,5511965909235,2022-09,2022-09-08,2022-09-28,15,15,232,102,334,TRUE
bot81,WhatsApp,5511965909235,2022-06,2022-06-10,2022-06-21,5,5,112,52,164,TRUE
bot81,WhatsApp,5511965909235,2022-01,2022-01-01,2022-01-29,6,6,205,89,294,TRUE
bot81,WhatsApp,5511965909235,2022-04,2022-04-03,2022-04-28,43,43,918,480,1398,TRUE
bot81,WhatsApp,5511965909235,2023-01,2023-01-03,2023-01-10,4,4,71,35,106,TRUE
bot81,WhatsApp,5511965909235,2022-07,2022-07-07,2022-07-29,8,8,184,87,271,TRUE
bot81,WhatsApp,5511965909235,2022-02,2022-02-03,2022-02-28,38,38,1489,688,2177,TRUE
bot81,WhatsApp,5511965909235,2022-10,2022-10-03,2022-10-23,2,2,37,15,52,FALSE
bot81,WhatsApp,5511965909235,2022-06,2022-06-10,2022-06-21,5,5,112,52,164,FALSE
bot81,WhatsApp,5511965909235,2022-05,2022-05-02,2022-05-20,12,12,318,163,481,FALSE
bot81,WhatsApp,5511965909235,2023-01,2023-01-03,2023-01-10,4,4,71,35,106,FALSE
bot81,WhatsApp,5511965909235,2022-07,2022-07-07,2022-07-29,8,8,184,87,271,FALSE
bot81,WhatsApp,5511965909235,2022-03,2022-03-03,2022-03-28,25,25,1708,813,2521,FALSE
bot81,WhatsApp,5511965909235,2022-01,2022-01-01,2022-01-29,6,6,205,89,294,FALSE
bot81,WhatsApp,5511965909235,2022-04,2022-04-03,2022-04-28,43,43,918,480,1398,FALSE
bot81,WhatsApp,5511965909235,2022-08,2022-08-04,2022-08-31,15,15,182,87,269,FALSE
bot81,WhatsApp,5511965909235,2022-11,2022-11-04,2022-11-15,4,4,16,15,31,FALSE
bot81,WhatsApp,5511965909235,2022-12,2022-12-13,2022-12-26,4,4,63,26,89,FALSE
bot81,WhatsApp,5511965909235,2022-09,2022-09-08,2022-09-28,15,15,232,102,334,FALSE
bot81,WhatsApp,5511965909235,2022-02,2022-02-03,2022-02-28,38,38,1489,688,2177,FALSE
,,,,,,362,,,,,
